"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951.6",12.4504018540053,1.35087995997972,0.908282303032599,1.48729085161008,0.136938009682886,0.259051225520989
"ENSMUSG00000102331.2",4.73568401751764,0.395338576356574,1.38941982628161,0.284535004379911,0.776000412455827,0.871055944763762
"ENSMUSG00000025900.14",22.3900923557339,-3.83302212512988,0.833819105701408,-4.59694686643758,4.28726893659256e-06,2.69936967354595e-05
"ENSMUSG00000025902.14",174.44408845509,-0.24734757049611,0.29241968271906,-0.845864984860636,0.397628067960094,0.568022338896022
"ENSMUSG00000104238.2",2.56484045335956,-1.13466552486591,2.0971237432064,-0.541057974543297,0.588467623610051,NA
"ENSMUSG00000102269.2",7.87344242632248,0.576798411512994,1.15662213592679,0.498692177502561,0.617996256251005,0.759529533578908
"ENSMUSG00000098104.2",2.70679856701268,-0.282349467451776,1.86582439548436,-0.151326924513965,0.879717831156563,NA
"ENSMUSG00000103922.2",20.3657161133886,-0.749357292265249,0.717360744955968,-1.04460314776667,0.296206424170666,0.461868125505515
"ENSMUSG00000033845.14",1914.73388496923,-0.788912423614562,0.15392511989982,-5.1253000428261,2.97064288404071e-07,2.21984507908815e-06
"ENSMUSG00000102275.2",31.3691257005129,0.981610155215075,0.57535516551094,1.7060942771642,0.0879905279198704,0.183951832245155
"ENSMUSG00000025903.15",1085.42276961658,-0.858042882436367,0.201490519682308,-4.25847768812771,2.05823758366796e-05,0.000115541973446815
"ENSMUSG00000033813.16",324.855829160647,0.287137419717393,0.218303212830935,1.31531467628819,0.188404167716381,0.332142301072533
"ENSMUSG00000062588.5",2.55646234727722,0.887767529642177,1.89566644298619,0.468314208402455,0.639559909165979,NA
"ENSMUSG00000033793.13",509.596833387457,0.166069065551623,0.199255929760528,0.833446039729959,0.404593218368249,0.57451375393647
"ENSMUSG00000025907.15",1603.57034546491,-1.1281135407269,0.608944610310297,-1.85257168160509,0.0639437744963995,0.142047193758531
"ENSMUSG00000090031.3",78.9547369073767,0.38957745661322,0.419174257043737,0.929392609557535,0.352685656449082,0.522906264485424
"ENSMUSG00000051285.18",1325.69530613864,-1.32911580300181,0.25224055262299,-5.26923918133166,1.3699036788775e-07,1.06828337637155e-06
"ENSMUSG00000103509.2",44.0271223669135,0.837816174049485,0.661523659521028,1.26649464760807,0.205336044481168,0.353702028180831
"ENSMUSG00000097797.7",7.85779804482485,0.985185384758054,1.10788860318426,0.889245888012989,0.373870946004572,0.544597796546985
"ENSMUSG00000061024.9",383.084585114182,-0.226535289938148,0.20951557719834,-1.08123363888928,0.27959319808091,0.443606756567298
"ENSMUSG00000025911.15",697.354744712003,-1.05343982631296,0.21317039183631,-4.94177365457902,7.74150597824072e-07,5.44437269220023e-06
